GEOID	BORO	TUID	DIST_ROADBED	DIST_BLDG_HGHT	TYPE
360470013001015	Brooklyn	20130701018984	0	18.058114	d
360470013001015	Brooklyn	20130701020679	0	18.058114	d
360470013001016	Brooklyn	20130701015930	97.32361717	25.3642	d
360470015001006	Brooklyn	20130701029781	0	3.193832	d
360470015001007	Brooklyn	20130701000085	1.521747775	16.900393	d
360470015001007	Brooklyn	20130701030475	0	16.900393	d
360470015003000	Brooklyn	20130701001456	84.48823526	25.66214	d
360470015003002	Brooklyn	20130701002186	0	30.849637	d
360470015003002	Brooklyn	20130701006259	57.47654311	30.849637	d
360470015003002	Brooklyn	20130701013958	1.630650444	30.849637	d
360470015003002	Brooklyn	20130701017373	0	30.849637	d
360470015003002	Brooklyn	20130701018250	0	30.849637	d
360470015003003	Brooklyn	20130701013975	0	71.669485	d
360470015003003	Brooklyn	20130701023988	0	71.669485	d
360470015003006	Brooklyn	20130701000032	68.82355568	15.85621	d
360470015003006	Brooklyn	20130701015725	0	15.85621	d
360470015003007	Brooklyn	20130701014501	0	4.94653	d
360470015003007	Brooklyn	20130701018905	0	4.94653	d
360470015003007	Brooklyn	20130701024677	0	4.94653	d
360470015003007	Brooklyn	20130701025585	0	4.94653	d
360470015003008	Brooklyn	20130701008803	0	4.491559	d
360470015003008	Brooklyn	20130701023734	0	4.491559	d
360470015003008	Brooklyn	20130701027566	20.46729679	4.491559	d
360470015003008	Brooklyn	20130701028481	0	4.491559	d
360470015003008	Brooklyn	20130701029229	0	4.491559	d
360470018001014	Brooklyn	20130701003557	7.194310077	5.095219	d
360470020001002	Brooklyn	20130701025386	0	3.745202	d
360470021001001	Brooklyn	20130701042475	86.64594133	3.830815	d
360470021001003	Brooklyn	20130701008264	0	11.691358	d
360470021001003	Brooklyn	20130701028678	211.8910844	11.691358	d
360470021001005	Brooklyn	20130701022894	0	6.808656	d
360470021001008	Brooklyn	20130701014267	17.52026686	13.692589	d
360470021001008	Brooklyn	20130701023854	63.47266603	13.692589	d
360470021001009	Brooklyn	20130701029987	0	29.031949	d
360470021001009	Brooklyn	20130701046397	0	29.031949	d
360470021001010	Brooklyn	20130701006379	22.54634383	36.358438	d
360470021002013	Brooklyn	20130701020793	0	23.674894	d
360470021002013	Brooklyn	20130701028203	0	23.674894	d
360470021002014	Brooklyn	20130701022907	15.59472562	39.834229	d
360470021002018	Brooklyn	20130701011414	0	9.711265	d
360470021002018	Brooklyn	20130701021811	0	9.711265	d
360470021002018	Brooklyn	20130701030265	0	9.711265	d
360470021003008	Brooklyn	20130701017873	0	8.931374	d
360470021003008	Brooklyn	20130701020715	31.16834429	8.931374	d
360470021003008	Brooklyn	20130701024770	97.56516762	8.931374	d
360470021003008	Brooklyn	20130701043398	0	8.931374	d
360470021003010	Brooklyn	20130701029523	0	8.140483	d
360470021003013	Brooklyn	20130701018448	60.02457766	1.667851	d
360470021003013	Brooklyn	20130701024882	15.73052692	1.667851	d
360470021003015	Brooklyn	20130701042435	13.70837957	8.40257	d
360470021003016	Brooklyn	20130701004566	0	10.314116	d
360470021003016	Brooklyn	20130701005163	60.86841935	10.314116	d
360470021003016	Brooklyn	20130701023979	0	10.314116	d
360470021003016	Brooklyn	20130701024905	0	10.314116	d
360470021003018	Brooklyn	20130701000859	0	5.003322	d
360470021003018	Brooklyn	20130701023511	18.35592042	5.003322	d
360470021003020	Brooklyn	20130701001975	0	3.354984	d
360470022001000	Brooklyn	20130701030050	0	7.562629	d
360470022001001	Brooklyn	20130701018874	29.70677628	16.056955	d
360470022001005	Brooklyn	20130701010953	6.226358171	2.864499	d
360470022003000	Brooklyn	20130701008917	0	3.25639	d
360470023002000	Brooklyn	20130701005350	0	4.650086	d
360470023002000	Brooklyn	20130701020276	0	4.650086	d
360470023003000	Brooklyn	20130701043353	0	3.809115	d
360470029011009	Brooklyn	20130701000588	110.4478901	2.525408	d
360470030001006	Brooklyn	20130701007389	0	2.585147	d
360470031001001	Brooklyn	20130701029704	0	4.719659	d
360470031003000	Brooklyn	20130701008055	0	4.309886	d
360470031003000	Brooklyn	20130701028230	0	4.309886	d
360470033001000	Brooklyn	20130701024685	82.17680974	4.940393	d
360470033001001	Brooklyn	20130701010584	47.79439668	24.5911	d
360470033002000	Brooklyn	20130701030431	0	4.76587	d
360470033002001	Brooklyn	20130701030405	13.35287305	4.74544	d
360470033002005	Brooklyn	20130701015635	55.66304652	7.385176	d
360470033002009	Brooklyn	20130701016861	28.61150463	1.723672	d
360470034001012	Brooklyn	20130701020408	13.20498449	2.597167	d
360470035001002	Brooklyn	20130701021822	0	4.13377	d
360470035001006	Brooklyn	20130701001284	0	10.433248	d
360470035001007	Brooklyn	20130701008333	0	8.97798	d
360470035001007	Brooklyn	20130701013926	0	8.97798	d
360470037001000	Brooklyn	20130701022918	0	8.14707	d
360470037001002	Brooklyn	20130701012480	80.55675606	15.445613	d
360470037001007	Brooklyn	20130701003618	0	5.218345	d
360470037001007	Brooklyn	20130701009459	0	5.218345	d
360470037001008	Brooklyn	20130701021729	2.230526072	11.508273	d
360470037001008	Brooklyn	20130701028278	0	11.508273	d
360470037001013	Brooklyn	20130701004424	0	18.664229	d
360470039001001	Brooklyn	20130701002356	18.87436325	6.62686	d
360470039001001	Brooklyn	20130701005197	0	6.62686	d
360470039001003	Brooklyn	20130701000587	8.816311512	8.957776	d
360470039001003	Brooklyn	20130701029295	0	8.957776	d
360470039002000	Brooklyn	20130701009673	24.13389494	5.193666	d
360470039002001	Brooklyn	20130701003854	0	3.833483	d
360470039002001	Brooklyn	20130701006502	0	3.833483	d
360470039002002	Brooklyn	20130701020308	0	7.823542	d
360470039003000	Brooklyn	20130701013541	8.606680626	6.495456	d
360470039003000	Brooklyn	20130701016941	41.31390682	6.495456	d
360470039003002	Brooklyn	20130701042777	0	4.899753	d
360470041001002	Brooklyn	20130701007635	21.4581216	5.443258	d
360470041001002	Brooklyn	20130701026531	0	5.443258	d
360470041002001	Brooklyn	20130701001233	0	4.971613	d
360470041003000	Brooklyn	20130701030512	0	4.745333	d
360470043001000	Brooklyn	20130701029760	0	24.68206	d
360470043002000	Brooklyn	20130701017398	0	4.372793	d
360470043002001	Brooklyn	20130701012668	6.138517703	18.653605	d
360470043002002	Brooklyn	20130701017998	30.86295634	7.177382	d
360470043003000	Brooklyn	20130701021490	0	4.912281	d
360470043003000	Brooklyn	20130701043442	0	4.912281	d
360470043004000	Brooklyn	20130701012236	0	2.407426	d
360470043004001	Brooklyn	20130701002314	0	8.66245	d
360470043004001	Brooklyn	20130701009057	0	8.66245	d
360470043004001	Brooklyn	20130701028032	47.00888268	8.66245	d
360470043004001	Brooklyn	20130701028372	25.32742824	8.66245	d
360470043004001	Brooklyn	20130701043411	0	8.66245	d
360470043004003	Brooklyn	20130701009721	10.72518877	7.153337	d
360470044002000	Brooklyn	20130701044183	0	4.932832	d
360470045001000	Brooklyn	20130701025634	10.64442394	7.400427	d
360470045001001	Brooklyn	20130701021547	41.70092394	6.555751	d
360470045002001	Brooklyn	20130701015273	41.25018979	5.387227	d
360470047001002	Brooklyn	20130701016386	0	0.642325	d
360470047001002	Brooklyn	20130701022400	0	0.642325	d
360470047001002	Brooklyn	20130701025754	0	0.642325	d
360470047001002	Brooklyn	20130701028446	47.94608477	0.642325	d
360470049001000	Brooklyn	20130701002823	56.66122498	15.248645	d
360470049001002	Brooklyn	20130701007893	0	6.475357	d
360470049002002	Brooklyn	20130701020944	0	5.662742	d
360470049003000	Brooklyn	20130701005414	0	5.022418	d
360470049003000	Brooklyn	20130701009725	0.6395861087	5.022418	d
360470051001004	Brooklyn	20130701027967	0	4.142715	d
360470051002002	Brooklyn	20130701020002	91.11382633	4.649677	d
360470051002004	Brooklyn	20130701010603	0	3.604323	d
360470051002005	Brooklyn	20130701029289	7.336285298	5.451047	d
360470052022000	Brooklyn	20130701026610	5.608237664	3.907554	d
360470053001001	Brooklyn	20130701000486	0	1.701219	d
360470053001001	Brooklyn	20130701022470	0	1.701219	d
360470053001005	Brooklyn	20130701017262	0	11.688983	d
360470053001017	Brooklyn	20130701003449	8.284216408	1.679805	d
360470053001017	Brooklyn	20130701028852	0	1.679805	d
360470053002004	Brooklyn	20130701045294	0	3.119857	d
360470056021002	Brooklyn	20130701013442	12.40703161	4.515095	d
360470058002000	Brooklyn	20130701005177	0	3.736728	d
360470058002000	Brooklyn	20130701006482	0	3.736728	d
360470058002002	Brooklyn	20130701014123	38.03069655	3.37527	d
360470059001009	Brooklyn	20130701001030	7.291327396	2.699967	d
360470059002002	Brooklyn	20130701002527	29.6764948	9.154281	d
360470062001001	Brooklyn	20130701001453	0	3.671862	d
360470062001002	Brooklyn	20130701023533	0	4.166023	d
360470063001000	Brooklyn	20130701000927	0	6.65607	d
360470063001001	Brooklyn	20130701012509	17.69111972	5.143246	d
360470064003000	Brooklyn	20130701018007	0	4.19762	d
360470065004000	Brooklyn	20130701020193	33.69790634	4.08504	d
360470065005000	Brooklyn	20130701001276	0	3.45192	d
360470065006002	Brooklyn	20130701023534	0	4.620175	d
360470065007000	Brooklyn	20130701046389	7.072190356	4.031229	d
360470065007002	Brooklyn	20130701006451	0	3.404787	d
360470066001002	Brooklyn	20130701001299	22.72457101	4.887055	d
360470066002000	Brooklyn	20130701018802	9.252492249	4.470319	d
360470068004002	Brooklyn	20130701025400	0	4.749705	d
360470069001000	Brooklyn	20130701029574	0	4.351072	d
360470069002000	Brooklyn	20130701023297	4.011246913	5.431999	d
360470069002001	Brooklyn	20130701023207	34.61534618	6.034538	d
